,서비스구분,서비스ID,대분류명,소분류명,서비스상태,서비스명,결제방법,장소명,서비스대상,바로가기URL,장소X좌표,장소Y좌표,서비스개시시작일시,서비스개시종료일시,접수시작일시,접수종료일시,지역명,이미지경로,전화번호,서비스이용 시작시간,서비스이용 종료시간,취소기간 기준정보,취소기간 기준일까지,종료일자,종료시간
0,자체,S250311113238675649,문화체험,교육체험,접수종료,[백인제가옥] 2025년 온라인교육 '백인제가옥의 숨겨진 비밀을 찾아라!'(4월),무료,서울역사박물관," 가족(학부모 1인, 자녀 1인)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250311113238675649,126.9703743,37.57050028,2025-04-05 0:00:00,20250419 00:00:00.0,2025-03-11 13:00:00,2025-03-28 17:00:00,종로구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1741660532565A1CZO8LXF35OI990A1PFAP3MV,02-724-0232,10:00,12:40,이용일,8,20250419,0:00:00
1,자체,S250220094425372104,문화체험,전시/관람,접수중,2025 백인제가옥 전시해설 예약,무료,서울역사박물관>백인제가옥,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250220094425372104,126.9840916,37.5804463,2025-01-01 0:00:00,20250430 00:00:00.0,2024-12-20 10:00:00,2025-04-29 17:30:00,종로구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740012323501PI2FJLA29ZJ7LNKL9E2EYW0IZ,"02-724-0200, 0232",10:00,17:00,이용일,1,20250430,0:00:00
2,자체,S230202155258334077,문화체험,교육체험,예약마감,2025년 목편만들기(매주 일 14:00~16:00),무료,남산골한옥마을," 유아(만5세이상), 초등학생",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230202155258334077,126.9946806,37.55954776,2025-03-09 0:00:00,20251123 00:00:00.0,2025-03-01 0:01:00,2025-11-23 0:02:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1677122626545KIUBAZLYKPXUJCJC6AY8F0P1M,02-2264-4412,14:00,16:00,이용일,1,20251123,0:00:00
3,자체,S230223093648993269,문화체험,교육체험,예약마감,2025년 미니장승만들기(매주 토 10:30~12:30),무료,남산골한옥마을," 유아(만5세이상), 초등학생",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230223093648993269,126.9946806,37.55954776,2025-03-08 0:00:00,20251123 00:00:00.0,2025-03-01 0:01:00,2025-11-23 0:02:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1677122430675N88CFYM6Y1NUKXFRNWWUL52Y0,02-2264-4412,10:30,12:30,이용일,1,20251123,0:00:00
4,자체,S230223101203589301,문화체험,교육체험,예약마감,2025년 미니솟대만들기( 매주 토 14:00~16:00),무료,남산골한옥마을," 유아(만5세이상), 초등학생",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230223101203589301,126.9946806,37.55954776,2025-03-08 0:00:00,20251123 00:00:00.0,2025-03-01 0:01:00,2025-11-23 0:02:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1677122119729VMALE67JUOMRTXQZS54BSZH5R,02-2264-4412,14:00,16:00,이용일,1,20251123,0:00:00
5,자체,S230223122507189783,문화체험,교육체험,예약마감,2025년 짚공예 체험(매주 일요일 10:30~12:30),무료,남산골한옥마을," 유아(만5세이상), 초등학생",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230223122507189783,126.9946806,37.55954776,2025-03-09 0:00:00,20251123 00:00:00.0,2025-03-01 0:01:00,2025-11-23 0:01:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=16771229234844560BS4BSZYXM9RKCWDB0BGXI,02-2264-4412,10:30,12:30,이용일,1,20251123,0:00:00
6,자체,S250307085842422674,문화체험,교육체험,접수중,[청계천박물관] 2025년 상반기 온라인 교육 <톡톡톡 청계천> 참여기관 모집,무료,청계천박물관(성동구),어린이(지역아동센터 및 초등돌봄교실 (초등1-3학년) ),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250307085842422674,127.0350414,37.57126644,2025-03-26 0:00:00,20250625 00:00:00.0,2025-03-10 18:00:00,2025-06-16 18:00:00,성동구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1741306235894FLJYOONGDEKN9O76TNSTGM8W3,02-2286-3452,14:30,17:10,이용일,3,20250625,0:00:00
10,자체,S250321103419554282,문화체험,교육체험,접수중,"[청계천박물관] 4월 개방형교육 <우리들의 친구, 청계천박물관> 모집 안내",무료,청계천박물관(성동구),유아(유아교육기관 및 가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321103419554282,127.0350414,37.57126644,2025-04-01 0:00:00,20250429 00:00:00.0,2025-03-24 11:00:00,2025-04-25 11:00:00,성동구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742521261556T0VDECWIM191UGDLTOTSVVW4H,02-2286-3452(3457),10:00,16:00,이용일,3,20250429,0:00:00
11,자체,S250321111323632801,문화체험,교육체험,예약마감,[청계천박물관] 4월 유아가족교육 <궁금이의 그림책 박물관> 모집 안내,무료,청계천박물관(성동구),가족(6~8세 유아 및 동반가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321111323632801,127.0350414,37.57126644,2025-04-11 0:00:00,20250418 00:00:00.0,2025-03-24 11:00:00,2025-04-18 17:00:00,성동구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174252391901060GQ1LGPS5HLRF1BW1UVMAXQ9,02-2286-3452(3457),16:00,17:30,이용일,3,20250418,0:00:00
12,자체,S250328093513882976,문화체험,교육체험,예약마감,[청계천박물관] 초등3~6학년 주말 가족 교육 <우리는 청계천 탐험대> (토),무료,청계천박물관(성동구),가족(초등3~6학년 주말가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250328093513882976,127.0350414,37.57126644,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-31 11:00:00,2025-04-25 15:00:00,성동구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743122209192QMVM97GCX3OPSDMQ85XMXH57W,"02-2286-3452, 3457",10:00,12:00,이용일,3,20250426,0:00:00
