,服务分类,服务ID,大分类名称,小分类名称,服务状态,服务名称,支付方式,场所名称,服务对象,快捷链接URL,场所X坐标,场所Y坐标,服务开始起始日期时间,服务开始结束日期时间,接收开始日期时间,接收结束日期时间,区域名称,图片路径,电话号码,服务使用开始时间,服务使用结束时间,取消期限基准信息,取消期限截止日期,结束日期,结束时间
0,本身,S250311113238675649,文化体验,教育体验,终止接收,[白仁济家屋] 2025年在线教育《寻找白仁济家屋的隐藏秘密！》（4月）,免费,首尔历史博物馆,家庭（1名家长，1名子女）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250311113238675649,126.9703743,37.57050028,2025-04-05 0:00:00,20250419 00:00:00.0,2025-03-11 13:00:00,2025-03-28 17:00:00,钟路区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1741660532565A1CZO8LXF35OI990A1PFAP3MV,02-724-0232,10:00,12:40,李龙日,8,20250419,0:00:00
1,本身,S250220094425372104,文化体验,展览/参观,正在接收,2025年白仁济家屋展览解说预约,免费,首尔历史博物馆>白仁济家屋,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250220094425372104,126.9840916,37.5804463,2025-01-01 0:00:00,20250430 00:00:00.0,2024-12-20 10:00:00,2025-04-29 17:30:00,钟路区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740012323501PI2FJLA29ZJ7LNKL9E2EYW0IZ,"02-724-0200, 0232",10:00,17:00,李龙日,1,20250430,0:00:00
2,本身,S230202155258334077,文化体验,教育体验,预约截止,2025年木片制作（每周日 14:00~16:00）,免费,南山谷韩屋村,幼儿（5岁以上），小学生,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230202155258334077,126.9946806,37.55954776,2025-03-09 0:00:00,20251123 00:00:00.0,2025-03-01 0:01:00,2025-11-23 0:02:00,众口,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1677122626545KIUBAZLYKPXUJCJC6AY8F0P1M,02-2264-4412,14:00,16:00,李龙日,1,20251123,0:00:00
3,本身,S230223093648993269,文化体验,教育体验,预约截止,2025年迷你长胜制作（每周六 10:30~12:30）,免费,南山谷韩屋村,幼儿（5岁以上），小学生,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230223093648993269,126.9946806,37.55954776,2025-03-08 0:00:00,20251123 00:00:00.0,2025-03-01 0:01:00,2025-11-23 0:02:00,众口,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1677122430675N88CFYM6Y1NUKXFRNWWUL52Y0,02-2264-4412,10:30,12:30,李龙日,1,20251123,0:00:00
4,本身,S230223101203589301,文化体验,教育体验,预约截止,2025年迷你扫帚制作（每周六 14:00~16:00）,免费,南山谷韩屋村,幼儿（5岁以上），小学生,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230223101203589301,126.9946806,37.55954776,2025-03-08 0:00:00,20251123 00:00:00.0,2025-03-01 0:01:00,2025-11-23 0:02:00,众口,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1677122119729VMALE67JUOMRTXQZS54BSZH5R,02-2264-4412,14:00,16:00,李龙日,1,20251123,0:00:00
5,本身,S230223122507189783,文化体验,教育体验,预约截止,2025年草编工艺体验（每周日 10:30~12:30）,免费,南山谷韩屋村,幼儿（5岁以上），小学生,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230223122507189783,126.9946806,37.55954776,2025-03-09 0:00:00,20251123 00:00:00.0,2025-03-01 0:01:00,2025-11-23 0:01:00,众口,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=16771229234844560BS4BSZYXM9RKCWDB0BGXI,02-2264-4412,10:30,12:30,李龙日,1,20251123,0:00:00
6,本身,S250307085842422674,文化体验,教育体验,正在接收,[清溪川博物馆] 2025年上半年在线教育《咚咚咚 清溪川》参与机构招募,免费,清溪川博物馆（圣东区）,儿童（地区儿童中心及小学课后辅导班（1-3年级））,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250307085842422674,127.0350414,37.57126644,2025-03-26 0:00:00,20250625 00:00:00.0,2025-03-10 18:00:00,2025-06-16 18:00:00,城东区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1741306235894FLJYOONGDEKN9O76TNSTGM8W3,02-2286-3452,14:30,17:10,李龙日,3,20250625,0:00:00
10,本身,S250321103419554282,文化体验,教育体验,正在接收,[清溪川博物馆] 4月开放型教育《我们的朋友，清溪川博物馆》招募通知,免费,清溪川博物馆（圣东区）,幼儿（幼儿教育机构及家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321103419554282,127.0350414,37.57126644,2025-04-01 0:00:00,20250429 00:00:00.0,2025-03-24 11:00:00,2025-04-25 11:00:00,城东区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742521261556T0VDECWIM191UGDLTOTSVVW4H,02-2286-3452(3457),10:00,16:00,李龙日,3,20250429,0:00:00
11,本身,S250321111323632801,文化体验,教育体验,预约截止,[清溪川博物馆] 4月幼儿家庭教育《好奇的绘本博物馆》招募通知,免费,清溪川博物馆（圣东区）,家庭（6~8岁幼儿及陪伴家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321111323632801,127.0350414,37.57126644,2025-04-11 0:00:00,20250418 00:00:00.0,2025-03-24 11:00:00,2025-04-18 17:00:00,城东区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174252391901060GQ1LGPS5HLRF1BW1UVMAXQ9,02-2286-3452(3457),16:00,17:30,李龙日,3,20250418,0:00:00
12,本身,S250328093513882976,文化体验,教育体验,预约截止,[清溪川博物馆] 小学3~6年级周末家庭教育《我们是清溪川探险队》（周六）,免费,清溪川博物馆（圣东区）,家庭（小学3~6年级周末家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250328093513882976,127.0350414,37.57126644,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-31 11:00:00,2025-04-25 15:00:00,城东区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743122209192QMVM97GCX3OPSDMQ85XMXH57W,"02-2286-3452, 3457",10:00,12:00,李龙日,3,20250426,0:00:00
