,No. (Number),Business Name,Full Address (of Business Location),Full Road Name Address,Opening Date,Business Status,Postal Code of Business Location,Cultural and Sports Industry Type,Phone Number,Location Information (X Coordinate),Location Information (Y Coordinate),Detailed Business Status
0,80,"SK Networks Co., Ltd. Walkerhill Duty-Free Shop","21 Gwangjang-dong, Gwangjin-gu, Seoul","177 Walkerhill Road, Gwangjang-dong, Gwangjin-gu, Seoul",20041111,Operating,143210,Foreign tourist souvenir shop,1599-1110,,,Open for business
1,79,"IBC Cosmetics Co., Ltd.","27-7 Yeokchon-dong, Hanul Building, 1st-3rd Floors, Eunpyeong-gu, Seoul","87 Jinheung-ro, Yeokchon-dong, Hanul Building, Eunpyeong-gu, Seoul",20121221,Operating,122897,Foreign tourist souvenir shop,354-0888,,,Open for business
2,78,Aroyang Co.,"101 Sangbong-dong, Easy Palace 405, Jungnang-gu, Seoul","312-1 Mangwoo-ro, Sangbong-dong, Jungnang-gu, Seoul",20091125,Operating,131859,Foreign tourist souvenir shop,2208-7184,,,Open for business
3,77,"New Mija Cosmetics Co., Ltd.","150 Bukgajwa-dong, Namsu Mixed-use Building, 1st Floor 2-1, 2-2, Seodaemun-gu, Seoul","102 Susaek-ro, Bukgajwa-dong, Seodaemun-gu, Seoul",20130502,Operating,120811,Foreign tourist souvenir shop,338-1655,,,Open for business
4,76,Sinchon Maintenance,"27-53 Daehyeon-dong, 1st Floor, Seodaemun-gu, Seoul","40 Ihwa University 7th Street, 1st Floor, Daehyeon-dong, Seodaemun-gu, Seoul",20120904,Operating,120170,Foreign tourist souvenir shop,02-392-1788,,,Open for business
5,75,Beauty Coco,"703 Yeonhui-dong, 1st Floor, Seodaemun-gu, Seoul","80 Jangsa-ro, 1st Floor, Yeonhui-dong, Seodaemun-gu, Seoul",20120409,Operating,120110,Foreign tourist souvenir shop,02-720-2988,,,Open for business
6,74,"Hwachaeng Korea Co., Ltd. [Branch]","81-11 Yeonhui-dong, Seodaemun-gu, Seoul","161 Yeonhui-ro, Yeonhui-dong, Seodaemun-gu, Seoul",20120329,Operating,120110,Foreign tourist souvenir shop,02-325-6999,,,Open for business
7,73,"Bosu Seogwanwon Co., Ltd.","476 Chungjeongno 3-ga, Salvation Army Building, B1, Rooms 8-13, Seodaemun-gu, Seoul","7 Chungjeongno, Chungjeongno 3-ga, Salvation Army Building, Seodaemun-gu, Seoul",20120209,Operating,120013,Foreign tourist souvenir shop,02-6364-4987,,,Open for business
8,72,"Jin Cosmetics Co., Ltd.","169-25 Yeonhui-dong, Seodaemun-gu, Seoul","245 Yeonhui-ro, Yeonhui-dong, Seodaemun-gu, Seoul",20111207,Operating,120110,Foreign tourist souvenir shop,3144-4933,,,Open for business
9,71,Miranda Cosmetics,"402-39 Hongun-dong, Seongwoo Apartments, 1st Floor A-102, B-101, Seodaemun-gu, Seoul","83 Gajwa-ro, Hongun-dong, Seongwoo Apartment, 1st Floor, A-102, B-101, Seodaemun-gu, Seoul",20101126,Operating,120102,Foreign tourist souvenir shop,02-303-0265,,,Open for business
10,70,Miso Shopping,"331-24 Namgajwa-dong, Seodaemun-gu, Seoul","225 Moraenae-ro, Namgajwa-dong, Seodaemun-gu, Seoul",20100819,Operating,120120,Foreign tourist souvenir shop,306-8891,,,Open for business
11,69,"Hwachaeng Korea Co., Ltd.","86-15 Yeonhui-dong, Seodaemun-gu, Seoul","145 Yeonhui-ro, Yeonhui-dong, Seodaemun-gu, Seoul",20100524,Operating,120110,Foreign tourist souvenir shop,325-6999,,,Open for business
12,68,"Korea CM Co., Ltd.","89-21 Yeonhui-dong, Seodaemun-gu, Seoul","131 Yeonhui-ro, Yeonhui-dong, Seodaemun-gu, Seoul",20100428,Operating,120110,Foreign tourist souvenir shop,323-1268,,,Open for business
