,编号,商业名称,地址（详细）,道路名称地址,开业日期,营业状态,地址邮政编码,文化体育行业,电话号码,位置坐标(X),位置坐标(Y),详细营业状态
0,80,SK 网络（株）沃克希尔免税店,首尔特别市 广津区 广场洞 山21号,首尔特别市 广津区 沃克Hill路 177号 (光场洞),20041111,运营中,143210,外国人专用观光纪念品销售店,1599-1110,,,营业中
1,79,（株）艾比西化妆品,首尔特别市 恩平区 逆村洞 27-7号 韩宇大厦 1~3层,"首尔特别市 银平区 真兴路 87号 (驿村洞, 汉月大厦)",20121221,运营中,122897,外国人专用观光纪念品销售店,354-0888,,,营业中
2,78,阿罗洋行,首尔特别市 中浪区 上峰洞 101号 易智宫405号,首尔特别市 中浪区 芒吴路 312-1号 (上峯洞),20091125,运营中,131859,外国人专用观光纪念品销售店,2208-7184,,,营业中
3,77,（株）纽米佳化妆品,"首尔特别市 西大门区 北加佐洞 150号 南水住宅综合大厦 1层 2-1, 2-2",首尔特别市 西大门区 水色路 102号 (北加佐洞),20130502,运营中,120811,外国人专用观光纪念品销售店,338-1655,,,营业中
4,76,新村维持费,首尔特别市 西大门区 大贤洞 27-53号 1层,"首尔特别市 西大门区 梨花女大7街 40号, 1层 (大显洞)",20120904,运营中,120170,外国人专用观光纪念品销售店,02-392-1788,,,营业中
5,75,美容可可,首尔特别市 西大门区 延禧洞 703号 1层,"首尔特别市 西大门区 增加路 80号, 1层 (延熙洞)",20120409,运营中,120110,外国人专用观光纪念品销售店,02-720-2988,,,营业中
6,74,华昌韩国（株）［分店］,首尔特别市 西大门区 延禧洞 81-11号,首尔特别市 西大门区 延熙路 161号 (延熙洞),20120329,运营中,120110,外国人专用观光纪念品销售店,02-325-6999,,,营业中
7,73,株式会社保寿西间元,首尔特别市 西大门区 忠正路3街 476号 救世军大厦 地下1层 8~13号,"首尔特别市 西大门区 冲正路 7号 (冲正路3街, 救世军大厦)",20120209,运营中,120013,外国人专用观光纪念品销售店,02-6364-4987,,,营业中
8,72,（株）真化妆品,首尔特别市 西大门区 延禧洞 169-25号,首尔特别市 西大门区 延熙路 245号 (延熙洞),20111207,运营中,120110,外国人专用观光纪念品销售店,3144-4933,,,营业中
9,71,米兰达化妆品,"首尔特别市 西大门区 洪恩洞 402-39号 成宇公寓 1层 A-102号, B-101号","首尔特别市 西大门区 加佐路 83号 (红恩洞, 成宇公寓 1层 A-102号, B-101号)",20101126,运营中,120102,外国人专用观光纪念品销售店,02-303-0265,,,营业中
10,70,美笑购物,首尔特别市 西大门区 南加佐洞 331-24号,首尔特别市 西大门区 沙来内路 225号 (南加佐洞),20100819,运营中,120120,外国人专用观光纪念品销售店,306-8891,,,营业中
