,번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,소재지우편번호,문화체육업종명,전화번호,위치정보(X),위치정보(Y),상세영업상태명
0,80,SK 네트웍스(주) 워커힐 면세점,서울특별시 광진구 광장동 산 21번지 ,서울특별시 광진구 워커힐로 177 (광장동),20041111,운영중,143210.0,외국인전용관광기념품판매점,1599-1110,209963.032799,451028.729205,영업중
1,79,(주)아이비씨코스메틱,서울특별시 은평구 역촌동 27-7번지 한울빌딩 1~3층 ,"서울특별시 은평구 진흥로 87 (역촌동, 한울빌딩)",20121221,운영중,122897.0,외국인전용관광기념품판매점,354-0888,193087.922368,456132.211627,영업중
2,78,아로양행,서울특별시 중랑구 상봉동 101번지 이지팰리스 405호,서울특별시 중랑구 망우로 312-1 (상봉동),20091125,운영중,131859.0,외국인전용관광기념품판매점,2208-7184,207697.803033,455228.968508,영업중
3,77,(주)뉴미자코스메틱,"서울특별시 서대문구 북가좌동 150번지 남수주상복합빌딩 1층 2-1,2-2 ",서울특별시 서대문구 수색로 102 (북가좌동),20130502,운영중,120811.0,외국인전용관광기념품판매점,338-1655,191899.339523,452595.303919,영업중
4,76,신촌유지비,서울특별시 서대문구 대현동 27-53번지 1층 ,"서울특별시 서대문구 이화여대7길 40, 1층 (대현동)",20120904,운영중,120170.0,외국인전용관광기념품판매점,02-392-1788,194998.676771,451016.275906,영업중
5,75,뷰티코코,서울특별시 서대문구 연희동 703번지 1층 ,"서울특별시 서대문구 증가로 80, 1층 (연희동)",20120409,운영중,120110.0,외국인전용관광기념품판매점,02-720-2988,193588.911727,452787.135115,영업중
6,74,화창코리아(주) ［지점］,서울특별시 서대문구 연희동 81-11번지 ,서울특별시 서대문구 연희로 161 (연희동),20120329,운영중,120110.0,외국인전용관광기념품판매점,02-325-6999,194208.874886,452463.947993,영업중
7,73,주식회사 보수서간원,서울특별시 서대문구 충정로3가 476번지 구세군빌딩 지하1층 8~13호 ,"서울특별시 서대문구 충정로 7 (충정로3가, 구세군빌딩)",20120209,운영중,120013.0,외국인전용관광기념품판매점,02-6364-4987,196667.473973,451176.512592,영업중
8,72,(주)진코스메틱,서울특별시 서대문구 연희동 169-25번지 ,서울특별시 서대문구 연희로 245 (연희동),20111207,운영중,120110.0,외국인전용관광기념품판매점,3144-4933,194324.688918,453274.093245,영업중
9,71,미란다 코스메틱,"서울특별시 서대문구 홍은동 402-39번지 성우아파트 1층 A-102호, B-101호 ","서울특별시 서대문구 가좌로 83  (홍은동,성우아파트 1층 A-102호, B-101호)",20101126,운영중,120102.0,외국인전용관광기념품판매점,02-303-0265,193619.998104,453420.271024,영업중
