,키,분류,명칭,주소,행정 시,행정 구,행정 동,X 좌표,Y 좌표
0,BE_IW10-0474,문화재유산|문화재구분|가옥,해공 신익희 가옥,서울특별시 종로구 효자동 164-2,서울특별시,종로구,청운효자동,126.9723239,37.5819933
1,BE_IW10-0475,문화재유산|문화재구분|가옥,원서동 백홍범 가옥,서울특별시 종로구 원서동 9-5,서울특별시,종로구,가회동,126.988488,37.5837108
2,BE_IW10-0499,문화재유산|문화재구분|누정,백사 이항복 집터(필운대),서울특별시 종로구 필운동 산1-2,서울특별시,종로구,사직동,126.9663079,37.5781153
3,BE_IW10-0527,문화재유산|문화재구분|예술가의집,"한용운(韓龍雲, 1879-1944)家",서울특별시 종로구 계동 43,서울특별시,종로구,가회동,126.9870346,37.5815152
4,BE_IW10-0500,문화재유산|문화재구분|누정,세검정 터,서울특별시 종로구 신영동 168-6,서울특별시,종로구,부암동,126.9602738,37.6008165
5,BE_IW10-0501,문화재유산|문화재구분|누정,보신각 터,서울특별시 종로구 관철동 45-5,서울특별시,종로구,종로1.2.3.4가동,126.9835841,37.5698422
6,BE_IW10-0502,문화재유산|문화재구분|누정,황학정,서울특별시 종로구 사직동 산1-1,서울특별시,종로구,사직동,126.9685375,37.5764899
7,BE_IW10-0503,문화재유산|문화재구분|누정,안평대군 이용 집터,서울특별시 종로구 부암동 319-4,서울특별시,종로구,부암동,126.9628406,37.5916177
8,BE_IW10-0504,문화재유산|문화재구분|누정,침류각,서울특별시 종로구 세종로 1,서울특별시,종로구,청운효자동,126.9767743,37.5866061
9,BE_IW10-0514,문화재유산|문화재구분|예술가의집,시인 윤동주가 하숙하던 집,종로구 누상동 9번지,서울특별시,종로구,청운효자동,126.9656793,37.5814513
10,BE_IW10-0515,문화재유산|문화재구분|예술가의집,우리시대' 불꽃'과' 비수'의 시인 김수영 생가,서울특별시 종로구 종로2가 158번지,서울특별시,종로구,종로1.2.3.4가동,126.9847482,37.5688039
11,BE_IW10-0517,문화재유산|문화재구분|예술가의집,"박인환(朴寅煥, 1926-1956)家",서울특별시 종로구 원서동 134-8,서울특별시,종로구,가회동,126.9888131,37.5797298
12,BE_IW10-0518,문화재유산|문화재구분|예술가의집,고향 정지용의 집,서울특별시 종로구 재동 44번지,서울특별시,종로구,가회동,126.9852823,37.5790115
13,BE_IW10-0519,문화재유산|문화재구분|예술가의집,"김성수 (金性洙, 1891-1955)家",서울특별시 종로구 계동 132-1,서울특별시,종로구,가회동,126.9872551,37.5809038
14,BE_IW10-0520,문화재유산|문화재구분|예술가의집,동백꽃 김유정의 집,서울특별시 종로구 사직동 227번지,서울특별시,종로구,사직동,126.9675984,37.5747602
15,BE_IW10-0521,문화재유산|문화재구분|예술가의집,"이광수 (李光洙, 1892-1950)家",서울특별시 종로구 홍지동 40,서울특별시,종로구,부암동,126.9560406,37.6002694
16,BE_IW10-0522,문화재유산|문화재구분|예술가의집,모더니즘 시인 김기림,서울특별시 종로구 이화동 196번지,서울특별시,종로구,이화동,127.0021671,37.5754324
17,BE_IW10-0523,문화재유산|문화재구분|예술가의집,"고희동(高羲東, 1886-1965)家",서울특별시 종로구 원서동 16,서울특별시,종로구,가회동,126.9889583,37.5831391
18,BE_IW10-0524,문화재유산|문화재구분|예술가의집,마해송(馬海松 1905-1966)家,서울특별시 종로구 명륜3가 143-3,서울특별시,종로구,혜화동,126.9976368,37.583196
19,BE_IW10-0525,문화재유산|문화재구분|예술가의집,"박종화 (朴鐘和, 1901-1981)家",서울특별시 종로구 평창동 128-1,서울특별시,종로구,평창동,126.9673329,37.6122517
20,BE_IW10-0526,문화재유산|문화재구분|예술가의집,간송 전형필 생가,서울특별시 종로구 종로4가 112번지,서울특별시,종로구,종로1.2.3.4가동,126.9902999,37.570077
21,BE_IW10-0505,문화재유산|문화재구분|누정,석파정,서울특별시 종로구 부암동 산16-1,서울특별시,종로구,부암동,126.9738314,37.5961355
22,BE_IW10-0506,문화재유산|문화재구분|누정,탑골공원 팔각정,서울특별시 종로구 종로2가 38-1,서울특별시,종로구,종로1.2.3.4가동,126.988348,37.571206
23,BE_IW10-0507,문화재유산|문화재구분|관청,기기국 번사창,서울특별시 종로구 삼청동 28-1,서울특별시,종로구,삼청동,126.9827091,37.5861164
