,키,명칭,행정 시,행정 구,행정 동,전화번호,홈페이지주소,HTML사용여부,X 좌표,Y 좌표
0,BE_IW10-0963,Arario Museum In Space,Seoul,Jongno-gu,Gahoe-dong,02-736-5700,http://www.arariomuseum.org/main.php,Y ,126.9883535,37.5778587
1,BE_IW10-0964,gahoemuseum,Seoul,Jongno-gu,Gahoe-dong,,,Y ,126.9856623,37.5821369
2,BE_IW10-0965,Donglim Knot Workshop ,Seoul,Jongno-gu,Gahoe-dong,02-3673-2778,,Y ,126.9856211,37.5817921
3,BE_IW10-0966,Myeongin Museum,Seoul,Jongno-gu,Gahoe-dong,02-766-0272,,Y ,126.9860057,37.5775225
4,BE_IW10-0967,Whanki Museum,Seoul,Jongno-gu,Buam-dong,02-391-7701,htp://www.whankimuseum.org,Y ,126.9664362,37.5944071
5,BE_IW10-0968,Zaha Museum,Seoul,Jongno-gu,Buam-dong,02-395-3222,http://www.zahamuseum.com,Y ,126.9603349,37.5893894
6,BE_IW10-0969,YooGeum Museum,Seoul,Jongno-gu,Buam-dong,02-394-3451,http://www.yoogeum.org,Y ,126.9626533,37.5936708
7,BE_IW10-0970,Seoul Museum,Seoul,Jongno-gu,Buam-dong,02-395-0100,,Y ,126.9623571,37.5950336
8,BE_IW10-0971,shuim Museum,Seoul,Jongno-gu,Buam-dong,02-396-9277,http://www.shuim.org,Y ,126.9556804,37.5995016
9,BE_IW10-0972,Kokdu Museum,Seoul,Jongno-gu,Ihwa-dong,02-766-3315,http://www.kokdumuseum.com,Y ,127.0037106,37.5836832
10,BE_IW10-0973,Arko Art Center,Seoul,Jongno-gu,Ihwa-dong,02-760-4850~3,http://www.arkoartcenter.or.kr,Y ,127.002897,37.5799333
11,BE_IW10-0974,Lock Museum,Seoul,Jongno-gu,Ihwa-dong,02-766-6494,http:// www.lockmuseum.co.kr,Y ,127.0046646,37.5798116
12,BE_IW10-0975,Medical Museum,Seoul,Jongno-gu,Ihwa-dong,02-2072-2636,http://www.medicalmuseum.org,Y ,127.0006005,37.5805685
13,BE_IW10-0976,House of Jang Myeon,Seoul,Jongno-gu,Hyehwa-dong,,,Y ,126.9996628,37.5875716
14,BE_IW10-0977,Museum of Korea Straw and Plants Handicraft,Seoul,Jongno-gu,Hyehwa-dong,02-743-8787,http://www.zipul.com,Y ,126.9998511,37.5849195
15,BE_IW10-0978,Poem Museum,Seoul,Jongno-gu,Hyehwa-dong,,http://www.poem.ac,Y ,126.9989147,37.5865497
16,BE_IW10-0979,The Hahn Moo-Sook House,Seoul,Jongno-gu,Hyehwa-dong,02-762-3093,http://www.hahnmoosook.com,Y ,126.9985908,37.5877952
17,BE_IW10-0980,Seoul Educatuon Museum,Seoul,Jongno-gu,Samcheong-dong,02-2011-5780,http://www.edumuseum.sen.go.kr,Y ,126.9832525,37.579777
18,BE_IW10-0981,Worlld Jewellery Museum,Seoul,Jongno-gu,Samcheong-dong,02-730-1610,http://www.wjmuseum.com,Y ,126.9818197,37.5809883
19,BE_IW10-0982,Bukchon Museum,Seoul,Jongno-gu,Samcheong-dong,02-736-3957,http://www.bomulgun.com,Y ,126.981996,37.5824258
20,BE_IW10-0983,Asian Art Museum,Seoul,Jongno-gu,Samcheong-dong,02-486-0191,http://www.dymuseum.com,Y ,126.983363,37.5840319
