"키","명칭","행정 시","행정 구","행정 동","전화번호","홈페이지주소","HTML사용여부","X 좌표","Y 좌표"
"BE_IW10-0963","Arario Museum In Space","Seoul","Jongno-gu","Gahoe-dong","02-736-5700","http://www.arariomuseum.org/main.php","Y ","126.9883535000","37.5778587000"
"BE_IW10-0964","gahoemuseum","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9856623000","37.5821369000"
"BE_IW10-0965","Donglim Knot Workshop ","Seoul","Jongno-gu","Gahoe-dong","02-3673-2778","","Y ","126.9856211000","37.5817921000"
"BE_IW10-0966","Myeongin Museum","Seoul","Jongno-gu","Gahoe-dong","02-766-0272","","Y ","126.9860057000","37.5775225000"
"BE_IW10-0967","Whanki Museum","Seoul","Jongno-gu","Buam-dong","02-391-7701","htp://www.whankimuseum.org","Y ","126.9664362000","37.5944071000"
"BE_IW10-0968","Zaha Museum","Seoul","Jongno-gu","Buam-dong","02-395-3222","http://www.zahamuseum.com","Y ","126.9603349000","37.5893894000"
"BE_IW10-0969","YooGeum Museum","Seoul","Jongno-gu","Buam-dong","02-394-3451","http://www.yoogeum.org","Y ","126.9626533000","37.5936708000"
"BE_IW10-0970","Seoul Museum","Seoul","Jongno-gu","Buam-dong","02-395-0100","","Y ","126.9623571000","37.5950336000"
"BE_IW10-0971","shuim Museum","Seoul","Jongno-gu","Buam-dong","02-396-9277","http://www.shuim.org","Y ","126.9556804000","37.5995016000"
"BE_IW10-0972","Kokdu Museum","Seoul","Jongno-gu","Ihwa-dong","02-766-3315","http://www.kokdumuseum.com","Y ","127.0037106000","37.5836832000"
"BE_IW10-0973","Arko Art Center","Seoul","Jongno-gu","Ihwa-dong","02-760-4850~3","http://www.arkoartcenter.or.kr","Y ","127.0028970000","37.5799333000"
"BE_IW10-0974","Lock Museum","Seoul","Jongno-gu","Ihwa-dong","02-766-6494","http:// www.lockmuseum.co.kr","Y ","127.0046646000","37.5798116000"
"BE_IW10-0975","Medical Museum","Seoul","Jongno-gu","Ihwa-dong","02-2072-2636","http://www.medicalmuseum.org","Y ","127.0006005000","37.5805685000"
"BE_IW10-0976","House of Jang Myeon","Seoul","Jongno-gu","Hyehwa-dong","","","Y ","126.9996628000","37.5875716000"
"BE_IW10-0977","Museum of Korea Straw and Plants Handicraft","Seoul","Jongno-gu","Hyehwa-dong","02-743-8787","http://www.zipul.com","Y ","126.9998511000","37.5849195000"
"BE_IW10-0978","Poem Museum","Seoul","Jongno-gu","Hyehwa-dong","","http://www.poem.ac","Y ","126.9989147000","37.5865497000"
"BE_IW10-0979","The Hahn Moo-Sook House","Seoul","Jongno-gu","Hyehwa-dong","02-762-3093","http://www.hahnmoosook.com","Y ","126.9985908000","37.5877952000"
"BE_IW10-0980","Seoul Educatuon Museum","Seoul","Jongno-gu","Samcheong-dong","02-2011-5780","http://www.edumuseum.sen.go.kr","Y ","126.9832525000","37.5797770000"
"BE_IW10-0981","Worlld Jewellery Museum","Seoul","Jongno-gu","Samcheong-dong","02-730-1610","http://www.wjmuseum.com","Y ","126.9818197000","37.5809883000"
"BE_IW10-0982","Bukchon Museum","Seoul","Jongno-gu","Samcheong-dong","02-736-3957","http://www.bomulgun.com","Y ","126.9819960000","37.5824258000"
"BE_IW10-0983","Asian Art Museum","Seoul","Jongno-gu","Samcheong-dong","02-486-0191","http://www.dymuseum.com","Y ","126.9833630000","37.5840319000"
"BE_IW10-0984","National Folk Museum of Korea","Seoul","Jongno-gu","Cheongunhyoja-dong","02-3704-3114","http://www.nfm.go.kr","Y ","126.9792284000","37.5789315000"
"BE_IW10-0985","Asian Art Museum","Seoul","Jongno-gu","Samcheong-dong","02-723-0190","http://www.dymuseum.com","Y ","126.9835526000","37.5838767000"
"BE_IW10-0986","Worlld Jewellery Museum","Seoul","Jongno-gu","Samcheong-dong","02-730-1610","http://www.wjmuseum.com","Y ","126.9818118000","37.5809802000"
"BE_IW10-0987","National Museum of Contemporary Art, Seoul","Seoul","Jongno-gu","Samcheong-dong","02-370-1500","http://www.mmca.go.kr","Y ","126.9818630000","37.5865770000"
"BE_IW10-0988","Owl Antiques Museum","Seoul","Jongno-gu","Samcheong-dong","02-3210-2902","http://www.owlmuseum.co.kr","Y ","126.9829470000","37.5870892000"
"BE_IW10-0989","Bukchon Cultural Center","Seoul","Jongno-gu","Gahoe-dong","02-2133-1371","http://bukchon.seoul.go.kr","Y ","126.9862703000","37.5790851000"
"BE_IW10-0990","Good performances Information Center","Seoul","Jongno-gu","Ihwa-dong","1599-7838","","Y ","127.0025153000","37.5803340000"
"BE_IW10-0991","Seoul Theater Center","Seoul","Jongno-gu","Hyehwa-dong","02-1599-7838","www.e-stc.or.kr","Y ","127.0013295000","37.5834282000"
"BE_IW10-0992","Daehak-Ro Ticket","Seoul","Jongno-gu","Ihwa-dong","","http://대학로티켓.com","Y ","127.0041553000","37.5807613000"
"BE_IW10-0993","Han Sang Soo Embroidery Museum","Seoul","Jongno-gu","Gahoe-dong","","http://www.hansangsoo.com","Y ","126.9856578000","37.5827349000"
"BE_IW10-0994","gahoemuseum","Seoul","Jongno-gu","Gahoe-dong","","www.gahoemuseum.org/","Y ","126.9856250000","37.5821333000"
"BE_IW10-0995","Donglim Knot Workshop ","Seoul","Jongno-gu","Gahoe-dong","02-3673-2778","http://shimyoungmi.com/","Y ","126.9856168000","37.5818022000"
"BE_IW10-0996","Arario Museum In Space","Seoul","Jongno-gu","Gahoe-dong","02-736-5700","http://www.arariomuseum.org/main.php","Y ","126.9883535000","37.5778587000"
"BE_IW10-0997","House of Go Hui-dong","Seoul","Jongno-gu","Gahoe-dong","02-2148-4165  ","","Y ","126.9889494000","37.5831289000"
"BE_IW10-0998","Bukchon Museum","Seoul","Jongno-gu","Gahoe-dong","02-766-8402","blog.naver.com/bukchon_art","Y ","126.9846114000","37.5800058000"
"BE_IW10-0999","Korea Art Museum","Seoul","Jongno-gu","Gahoe-dong","02-766-6000","","Y ","126.9889090000","37.5808302000"
"BE_IW10-1000","myeonginmuseum","Seoul","Jongno-gu","Gahoe-dong","02-766-0272","http://www.myeonginmuseum.com/","Y ","126.9852010000","37.5801787000"
"BE_IW10-1001","Marronnier Park","Seoul","Jongno-gu","Ihwa-dong","02-2148-1114","http://www.visitseoul.net/kr/article/article.do?_method=view&m=0004003002017&p=03&art_id=501&lang=kr","Y ","127.0027269000","37.5805221000"
"BE_IW10-1002","Naksan Park","Seoul","Jongno-gu","Ihwa-dong","02-743-7985","http://www.visitseoul.net/kr/article/article.do?_method=view&m=0004003002017&p=kr&art_id=751&lang=kr&tab=map","Y ","127.0072752000","37.5804538000"
"BE_IW10-1003","Ihwa Mural Village","Seoul","Jongno-gu","Ihwa-dong","","","Y ","127.0043380000","37.5770080000"
"BE_IW10-1004","Lock Museum","Seoul","Jongno-gu","Ihwa-dong","02-766-6494","http://lockmuseum.co.kr/","Y ","127.0046257000","37.5798114000"
"BE_IW10-1005","Museum of Korea Straw and Plants Handicraft","Seoul","Jongno-gu","Hyehwa-dong","02-743-8787","http://www.zipul.co.kr","Y ","126.9998609000","37.5849110000"
"BE_IW10-1006","Kokdu Museum","Seoul","Jongno-gu","Ihwa-dong","02-766-3315","http://www.kokdumuseum.com/","Y ","127.0037278000","37.5837122000"
