,키,명칭,행정 시,행정 구,행정 동,전화번호,홈페이지주소,HTML사용여부,X 좌표,Y 좌표
0,BE_IW10-0117,祥明大博物?,首?特?市,?路?,平?洞,02-02-781-7920,http://museum.smu.ac.kr,Y ,126.975966,37.6105555
1,BE_IW10-0118,???少年修??施??,首?特?市,?路?,梨花洞,02-766-9363,http://www.youthnet.or.kr,Y ,127.0046697,37.5761237
2,BE_IW10-0119,天主?大??心?廷???,首?特?市,?路?,?化洞,02-740-9720?1,http://lib.catholic.ac.kr,Y ,127.0037658,37.5859908
3,BE_IW10-0120,?路?立小???（13?）,首?特?市,?路?,?路1.2.3.4街洞,02-2148-3932,http://lib.jongno.go.kr,Y ,126.979642,37.573033
4,BE_IW10-0121,?路???,首?特?市,?路?,社稷洞,02-721-0711~6,http://jnlib.sen.go.kr,Y ,126.9672703,37.5759436
5,BE_IW10-0122,?育信息?????,首?特?市,?路?,社稷洞,02-2100-6117,http://library.mest.go.kr,Y ,126.9754237,37.574848
6,BE_IW10-0123,精????,首?特?市,?路?,三?洞,02-2011-5799,http://jdlib.sen.go.kr,Y ,126.9831241,37.5807844
7,BE_IW10-0124,首?市立?童???,首?特?市,?路?,社稷洞,02-731-2300,http://www.childrenlib.go.kr,Y ,126.9672703,37.5759436
8,BE_IW10-0125,?德???廊,首?特?市,?路?,?路1.2.3.4街洞,02-732-6458,http://www.gallerydongduk.com,Y ,126.9831904,37.5750317
9,BE_IW10-0126,PKM?廊,首?特?市,?路?,三?洞,02-734-9467~8,http://www.pkmgallery.com,Y ,126.9826982,37.5790477
10,BE_IW10-0127,一民美??,首?特?市,?路?,社稷洞,02-2020-2055,http://www.ilmin.org,Y ,126.9776683,37.5695517
11,BE_IW10-0128,??Side,首?特?市,?路?,社稷洞,02-725-1020,http://www.artside.org/,Y ,126.9729516,37.578275
12,BE_IW10-0129,世宗文化??美??,首?特?市,?路?,社稷洞,02-399-1512~4,http://www.sejongpac.or.kr,Y ,126.9760754,37.5722306
13,BE_IW10-0567,皇城新??址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9797265,37.5703153
14,BE_IW10-0568,火器都??址,首?特?市,?路?,三?洞,,,Y ,126.9831241,37.5807844
15,BE_IW10-0569,?城裁判所?址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9803876,37.5695042
16,BE_IW10-0570,?城??政府?址,首?特?市,?路?,社稷洞,,,Y ,126.9713114,37.5739782
17,BE_IW10-0571,?化??址,首?特?市,?路?,社稷洞,,,Y ,126.972266,37.5704148
18,BE_IW10-0572,?德??址,首?特?市,?路?,?化洞,,,Y ,126.9975,37.5891
19,BE_IW10-0573,??都??址,首?特?市,?路?,社稷洞,,,Y ,126.972266,37.5704148
20,BE_IW10-0574,忠?府址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9834954,37.5754369
21,BE_IW10-0575,崔?亨殉??址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9922221,37.5710835
22,BE_IW10-0576,弘化??址,首?特?市,?路?,?化洞,,,Y ,127.0037831,37.5878339
23,BE_IW10-0577,?曹?址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9780181,37.5710617
24,BE_IW10-0578,惠政??址,首?特?市,?路?,?云孝子洞,,,Y ,126.979642,37.573033
25,BE_IW10-0579,刑曹?址,首?特?市,?路?,?云孝子洞,,,Y ,126.9702003,37.5839605
26,BE_IW10-0580,玄?健家?址,首?特?市,?路?,付岩洞,,,Y ,126.9630068,37.5914055
27,BE_IW10-0581,???院?址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9892967,37.5717158
28,BE_IW10-0582,?????局?址,首?特?市,?路?,社稷洞,,,Y ,126.9767571,37.5802853
29,BE_IW10-0583,池?天??故居,首?特?市,?路?,三?洞,,,Y ,126.9817303,37.5862815
30,BE_IW10-0584,赤?永故居,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9885,37.5725
31,BE_IW10-0585,??府中部官衙?址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9947753,37.5702931
32,BE_IW10-0586,??府北部官衙?址,首?特?市,?路?,三?洞,,,Y ,126.9798723,37.5777304
33,BE_IW10-0587,??府?部官衙?址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9979711,37.5718913
34,BE_IW10-0588,????株式?社址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9826493,37.5747639
35,BE_IW10-0589,平??址,首?特?市,?路?,平?洞,,,Y ,126.9666929,37.6061187
36,BE_IW10-0590,通?院?址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9901288,37.5766756
37,BE_IW10-0591,?春台??村址,首?特?市,?路?,付岩洞,,,Y ,126.9608133,37.6011658
39,BE_IW10-0593,聚云亭?址,首?特?市,?路?,三?洞,,,Y ,126.9849145,37.5873918
40,BE_IW10-0594,造?署?址,首?特?市,?路?,付岩洞,,,Y ,126.9612883,37.6028904
41,BE_IW10-0595,朝?日?刊舍屋?址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9841943,37.5688055
42,BE_IW10-0596,朝????址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9871968,37.5708915
43,BE_IW10-0597,朝?建?同盟址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9852696,37.5759208
44,BE_IW10-0598,摠戎??址,首?特?市,?路?,付岩洞,,,Y ,126.9609583,37.6031805
45,BE_IW10-0599,?松堂?址,首?特?市,?路?,?云孝子洞,,,Y ,126.9692916,37.5891866
46,BE_IW10-0600,斥和碑?址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.985973,37.5691073
47,BE_IW10-0601,彰???址,首?特?市,?路?,社稷洞,,,Y ,126.9722336,37.5779723
48,BE_IW10-0602,震檀???址,首?特?市,?路?,嘉?洞,,,Y ,126.9853047,37.5794084
49,BE_IW10-0603,典?署?址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9778487,37.5705957
50,BE_IW10-0604,中?堂址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9800251,37.5756422
51,BE_IW10-0605,濬川司址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9893086,37.5684728
52,BE_IW10-0606,竹洞宮址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.984469,37.5724164
53,BE_IW10-0607,左捕???址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9912948,37.5701252
54,BE_IW10-0608,琮琛?址,首?特?市,?路?,社稷洞,,,Y ,126.9716,37.5754
55,BE_IW10-0609,宗?府址,首?特?市,?路?,三?洞,,,Y ,126.9805749,37.5795174
56,BE_IW10-0610,宗薄寺址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9901739,37.5764133
57,BE_IW10-0611,李石亨出生地,首?特?市,?路?,梨花洞,,,Y ,126.9987981,37.579166
58,BE_IW10-0612,李箱家址,首?特?市,?路?,?云孝子洞,,,Y ,126.9713447,37.5785049
59,BE_IW10-0613,?用??址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9792124,37.5744174
61,BE_IW10-0614,?生院?址,首?特?市,?路?,嘉?洞,,,Y ,126.9873971,37.5784138
62,BE_IW10-0615,?澈先生出生地,首?特?市,?路?,?云孝子洞,,,Y ,126.969628,37.5856345
63,BE_IW10-0616,?道?故居,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.979262,37.5729289
64,BE_IW10-0617,?????址,首?特?市,?路?,?路5.6街洞,,,Y ,126.9838679,37.570451
65,BE_IW10-0618,典???址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9826182,37.5744559
66,BE_IW10-0619,六矣廛?址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9895626,37.5705897
67,BE_IW10-0620,???址,首?特?市,?路?,社稷洞,,,Y ,126.9728685,37.5761659
68,BE_IW10-0621,?苑署址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9831241,37.5807844
69,BE_IW10-0622,掌隸院址,首?特?市,?路?,社稷洞,,,Y ,126.9748993,37.57196
70,BE_IW10-0624,慈??址,首?特?市,?路?,?云孝子洞,,,Y ,126.9682289,37.5822949
71,BE_IW10-0625,梨峴宮址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9990685,37.5724941
72,BE_IW10-0626,李恒福故居,首?特?市,?路?,社稷洞,,,Y ,126.9663079,37.5781153
73,BE_IW10-0627,吏曹故居,首?特?市,?路?,社稷洞,,,Y ,126.979642,37.573033
74,BE_IW10-0628,李珥先生故居,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9854649,37.5731065
75,BE_IW10-0629,?洞??址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9806,37.5737
76,BE_IW10-0630,李商在先生故居,首?特?市,?路?,嘉?洞,,,Y ,126.9847947,37.580111
77,BE_IW10-0631,里?址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9871408,37.5704428
78,BE_IW10-0632,李??主席故居,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.993694,37.5716584
79,BE_IW10-0633,?政部?址,首?特?市,?路?,三?洞,,,Y ,126.979642,37.573033
80,BE_IW10-0634,?盈??址,首?特?市,?路?,社稷洞,,,Y ,126.9750315,37.5736161
81,BE_IW10-0635,?禁府?址,首?特?市,?路?,?路1.2.3.4街洞,,,Y ,126.9828,37.5711
82,BE_IW10-0636,????址,首?特?市,?路?,?化洞,,,Y ,126.9965038,37.5876981
83,BE_IW10-0637,夜珠峴址,首?特?市,?路?,社稷洞,,,Y ,126.974814,37.570423
84,BE_IW10-0638,??武??校?址,首?特?市,?路?,社稷洞,,,Y ,126.9761849,37.5704858
85,BE_IW10-0639,月沙李廷?家址,首?特?市,?路?,?化洞,,,Y ,126.9977977,37.5819565
86,BE_IW10-0640,??寺?址,首?特?市,?路?,社稷洞,,,Y ,126.9734104,37.5706533
87,BE_IW10-0300,大?路生活??,首?特?市,?路?,梨花洞,02-745-5538,http://www.livetheater.co.kr,Y ,127.0037068,37.5812024
88,BE_IW10-0133,?廊LUX,首?特?市,?路?,?路1.2.3.4街洞,,http://www.gallerylux.net,Y ,126.9844248,37.5741999
89,BE_IW10-0134,日月?廊,首?特?市,?路?,?路1.2.3.4街洞,,http://amkorea.com/cgi-bin/amkorea/board/ttboard.cgi?act=read&db=seoul_sunmoon&page=1&idx=1,Y ,126.9857228,37.5743664
90,BE_IW10-0135,??文化??委??美??,首?特?市,?路?,梨花洞,02-760-4601~4,http://art.arko.or.kr,Y ,127.002897,37.5799333
91,BE_IW10-0136,Gana??中心,首?特?市,?路?,平?洞,02-720-1020,http://www.ganaartgallery.com,Y ,126.9751895,37.612236
92,BE_IW10-0137,?廊三景,首?特?市,?路?,?路1.2.3.4街洞,02-735-1262,,Y ,126.986821,37.5732985
93,BE_IW10-0138,?路?立朴??美??,首?特?市,?路?,?云孝子洞,02-2148-4171,,Y ,126.9667572,37.5813721
94,BE_IW10-0139,上?美??,首?特?市,?路?,平?洞,02-02-396-3185,http://www.imageroot.co.kr,Y ,126.9765863,37.6116273
95,BE_IW10-0140,北村美??,首?特?市,?路?,嘉?洞,02-02-741-2296,http://www.bukchonartmuseum.com,Y ,126.9847684,37.5803381
96,BE_IW10-0141,大林美??,首?特?市,?路?,社稷洞,02-02-720-0667,http://www.daelimmuseum.org,Y ,126.9733074,37.5774958
97,BE_IW10-0142,善宰??中心,首?特?市,?路?,三?洞,02-02-733-8945,http://artsonje.org,Y ,126.98185,37.5794229
98,BE_IW10-0143,付岩洞紫霞美??,首?特?市,?路?,付岩洞,02-395-3222,http://www.zahamuseum.com,Y ,126.9603349,37.5893894
99,BE_IW10-0144,??行星,首?特?市,?路?,?路1.2.3.4街洞,02-733-6444,,Y ,126.9834469,37.5750728
100,BE_IW10-0145,?廊上,首?特?市,?路?,?路1.2.3.4街洞,02-730-0030,http://www.gallerysang.co.kr,Y ,126.9865325,37.5723401
101,BE_IW10-0146,Tong in （通仁）?廊,首?特?市,?路?,?路1.2.3.4街洞,02-735-9094,http://www.tonginstore.com/,Y ,126.9858474,37.5735325
