,순번,제목,시작일,종료일,이용시간,이용연령,이용대상,이용료,링크 URL,등록일,분야코드,시설코드,분야명,시설명,x좌표,y좌표
0,3624,"양천, 마포, 소방 체력측정",20250410,20250411,09:00~18:00,전체 이용 가능,전체 이용 가능,없음,https://stadium.seoul.go.kr/reserve/mokdonggr/main-stadium,2025-04-04 16:22:48.0,1,11,스포츠경기,목동주경기장,126.883,37.53064
1,3623,"초,중 교육청 육상대회",20250408,20250409,09:00~18:00,전체 이용 가능,전체 이용 가능,없음,https://stadium.seoul.go.kr/reserve/mokdonggr/main-stadium,2025-04-04 16:20:23.0,1,11,스포츠경기,목동주경기장,126.883,37.53064
2,3622,프로축구(이랜드FC:경남),20250426,20250426,14시,전체 관전가,전체 관전가,https://www.seoulelandfc.com/ 참조,https://www.seoulelandfc.com/ ,2025-04-04 15:59:16.0,1,11,스포츠경기,목동주경기장,126.883,37.53064
3,3621,프로축구(이랜드FC:청주),20250419,20250419,14시,전체 관전가,전체 관전가,https://www.seoulelandfc.com/ 참조,https://www.seoulelandfc.com/ ,2025-04-04 15:58:20.0,1,11,스포츠경기,목동주경기장,126.883,37.53064
4,3620,프로축구(이랜드FC:천안),20250405,20250405,14시,전체 관전가,전체 관전가,https://www.seoulelandfc.com/ 참조,https://www.seoulelandfc.com/ ,2025-04-04 15:57:29.0,1,11,스포츠경기,목동주경기장,126.883,37.53064
5,3619,2025 잔나비 콘서트,20250426,20250427,서울 공연 - THE 1ST WEEK : 2025년 04월 26일(토) ~ 2025년 04월 27일(일),만 7세 이상,만 7세 이상," f'l'oor(현장수령)석 178,000원 M석 178,000원 J석 158,000원 F석 128,000원  할인 장애인1~3급(동반1인) 20% 할인 장애인 4급이하(본인) 20% 할인",https://www.ticketlink.co.kr/product/55611,2025-04-04 15:55:11.0,2,9,공연,잠실실내체육관,127.076,37.51641
6,3618,2025 현역가왕2 전국투어 콘서트,20250418,20250420,2025년 4월 18일 금요일 오후 7시 30분 2025년 4월 19일 토요일 오후 1시 / 오후 7시 30분 2025년 4월 20일 일요일 오후 1시 / 오후 6시,만 8세 이상 관람,만 8세 이상 관람," VIP석 154,000원 R석 143,000원 S석 121,000원",https://tickets.interpark.com/goods/25003285,2025-04-04 15:51:58.0,2,9,공연,잠실실내체육관,127.076,37.51641
7,3617,프로야구(KT:두산),20250429,20250501,4월 29일(화) ~ 5월 1일(목),전체 관전가,전체 관전가,https://www.doosanbears.com/ 참조,https://www.doosanbears.com/,2025-04-01 16:37:19.0,1,8,스포츠경기,잠실야구장,127.0718,37.5122
8,3616,프로야구(롯데:두산),20250425,20250427,"4월 25일(금) 18:30, 26일(토) 17:00, 27일(일) 14:00",전체 관전가,전체 관전가,https://www.doosanbears.com/ 참조,https://www.doosanbears.com/,2025-04-01 16:35:46.0,1,8,스포츠경기,잠실야구장,127.0718,37.5122
9,3615,프로야구(기아:두산),20250418,20250420,"4월 18일(금) 18:30, 19일(토) 17:00, 20일(일) 14:00",전체 관전가,전체 관전가,https://www.doosanbears.com/ 참조,https://www.doosanbears.com/,2025-04-01 16:17:22.0,1,8,스포츠경기,잠실야구장,127.0718,37.5122
